ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
1729247,comment,1728523,1728523,0,0,mmphosis,,,"I think that the title of this HN posting is misleading.  The actual title of the article is <i>Wildlife filmmaker Chris Palmer shows that animals are often set up to succeed</i>",1285513169
1729245,story,,,1,0,messel,"99 pages of apps on the wall",http://www.victusspiritus.com/2010/09/26/99-pages-of-apps-on-the-wall/,,1285513151
1729242,story,,,2,0,cwan,"Sal Khan's Academy",http://www.avc.com/a_vc/2010/09/sal-kahns-academy.html,,1285513103
1729241,comment,1729035,1729035,0,0,kiba,,,"Ain't it the fact that 90% of everything sucks?",1285513091
1729240,comment,1728725,1728725,0,0,ahoyhere,,,"I've used all those methods, but of course, using those methods alone don't deliver good (or even mediocre) usability.<p>Honestly, I think those methods are only useful if you already pretty much know what you're doing in general, know all the key principles, and are trying to get a handle on the specific case you're designing for.<p>People who don't know what they're doing usually try to hide that behind process-wanker-hood.",1285513023
1729239,comment,1729160,1729182,0,0,michael_dorfman,,,"The algorithm, crudely speaking, is based on upvotes and age.  Nine upvotes in a short enough period of time will get a story to the #1 position; nine upvotes over many hours might not get a story on the front page at all (depending on the other stories.)<p>If you want to see the details, check out the Arc source code.",1285512990
1729238,comment,1727361,1729207,0,0,MikeCapone,,,"#2 I might be missing something, but is there a way to do a quick image or news or map search with that new format without the sidebar? If there is, I couldn't find it quickly.",1285512894
1729237,comment,1728725,1728725,0,0,brudgers,,,"> <i>we're going to do user research methods I've never heard of</i><p>That's a good thing.",1285512874
1729236,story,,,3,1,grellas,"Google at 12",http://www.mercurynews.com/top-stories/ci_16155958?nclick_check=1,,1285512838
1729235,story,,,3,7,lyaunzbe,"How does one begin freelance web development?",,"Hey guys. I'm a high school senior that wants to start web development for several reason: 1) I enjoy web development 2) I need a job 3) I'm probably shooting for a Computer Science degree. However, I'm at a loss as to begin this venture and how to procure my first several clients. I'm willing to do the first couple of clients pro bono, because at least that will give me some sample work that I can show off in the future to potential clients. I would be grateful for any advice.",1285512821
1729234,comment,1728055,1729133,0,0,yummyfajitas,,,"<i>For example, American companies tend to focus on the next quarter. In contrast, Japanese companies tend to have a 10 year plan.</i><p>This is a commonly repeated trope, but I don't think it's true. The time frame a company targets is primarily a function of it's business model, not it's country of origin.<p>Many US companies have a long term (30+ year) focus; Pharma (long drug development cycles), some Big Tech (Oracle, IBM focus on relationships with big business), many financial companies (Berkshire and Lehman Brothers make long term bets in securities markets) and all oil companies (finding oil takes time).<p>Most companies with a short term focus primarily focus on rapidly changing markets. Apple is is focused on building a shiny version of whatever is hot right now (or about to be hot) and Goldman is focused on short term speculation/services. It's not hard to think of foreign companies with a short term focus - L'Oreal (next big thing in cosmetics) and Bandai (next big thing in toys) are two such examples.",1285512815
1729233,story,,,1,0,J3L2404,"Murasaki: A Fast, Parallelizable Algorithm to Find Anchors from Multiple Genomes",http://www.plosone.org/article/info:doi/10.1371/journal.pone.0012651,,1285512785
1729232,comment,1727385,1728968,0,0,Qz,,,"Right, but that's what I'm talking about.  Widgets should never be your language.  If you think widgets are your language then you've fallen into the widget trap.",1285512769
1729231,comment,1727385,1728299,0,0,nopassrecover,,,"Except the implicit intellectual theft. What you are describing is pretty close to the music industry's original purpose - bridging the gap between creators and buyers - and see how often that gets criticised (perhaps rightfully now) as vampiric.",1285512760
1729230,comment,1729172,1729172,0,0,kolo32,,,"Try <a href=""http://www.teknobites.com/2008/08/13/scrybe-invites/"" rel=""nofollow"">http://www.teknobites.com/2008/08/13/scrybe-invites/</a>",1285512636
1729229,comment,1728220,1728378,0,0,ahoyhere,,,"1000x YES on the ""aim high stuff is nonsense."" It's cargo-culting, pure and simple. Copying the way an accidental empire was built is as silly as building a straw plane in the hopes that the real plane will come back. Or buying Aeron chairs and a foosball table.<p>As Basho once wrote, ""Do not seek to follow in the footsteps of the wise. Seek what they sought.""<p>That said, can't agree with you on the statement that a lifestyle business is a business where the ambition has waned. Lots of people with ""lifestyle"" businesses are getting exactly what they wanted. Getting what you want is getting what you want, regardless of whether somebody on the outside deems your ambitions ""good enough.""<p>HNers seem to treat ""lifestyle business"" like a slur, while lionizing people with unlikely lifestyle businesses (hi patio11). I'd like to see that cognitive dissonance resolved.",1285512595
