ID,Karma,Average,Stories,Comments,About,Created
W00d5t0ck,1,0.0,0,1,0,1347172406
W0lf,26,0.0,2,8,0,1356522479
W130SN,1,0.0,2,0,0,1383975906
W1N9Zr0,3,0.0,0,1,0,1355501539
W1TCH_,1,0.0,5,0,0,1351360949
W34S56,1,0.0,1,0,0,1325100679
W35,1,0.0,0,1,0,1429753918
W443991430,1,0.0,3,0,0,1337390988
W4RH4WK,1,0.0,1,1,0,1356528550
W4SP,1,0.0,0,1,0,1289873105
W4spN3st,1,0.0,1,0,0,1384990594
WA,1556,6.0,1,370,0,1258733167
WALKARTROAD,1,0.0,1,0,0,1350639937
WALoeIII,261,2.0,3,122,0,1222367260
WANGccess,1,0.0,1,0,0,1315270197
WANdiscoGeorge,8,0.0,11,4,0,1271239755
WANdiscoLesley,1,0.0,1,0,0,1292865863
WARREN002,1,0.0,4,0,0,1320486210
WAVECalendar,1,0.0,1,0,0,1433236363
WA_derozan,1,0.0,1,1,0,1409103542
WBGate,3,0.0,1,0,0,1348730103
WBYeats,1,0.0,1,0,0,1363145628
WBrentWilliams,36,0.0,0,17,0,1410864762
WBrowneNews,2,0.0,6,0,0,1293612760
WCC,3,0.0,0,5,0,1269123284
WCN2,1,0.0,1,0,0,1379441135
WCSM,1,0.0,1,0,0,1340650426
WCityMike,49,0.0,5,23,0,1311523070
WD-42,243,0.0,7,22,0,1383970966
WDCDev,233,0.0,0,40,0,1427033375
WDUK,16,0.0,0,2,0,1443643101
WDYC,5,0.0,2,5,0,1346504036
WDennis,2,0.0,0,1,0,1372807024
WECKNICK,1,0.0,0,1,0,1368969801
WEEDUB,2,0.0,1,0,0,1351801064
WEELMAN,1,0.0,1,0,0,1371682781
WEREA,-22,0.0,0,9,0,1278813503
WFMU,1,0.0,3,1,0,1394755187
WHENCE234,2,0.0,0,2,0,1334130329
WHITEPRIDE,1,0.0,0,1,0,1386973976
WHTKNGHT,1,0.0,0,1,0,1339975993
WHman,1,0.0,1,0,0,1441781097
WIOLETTA,2,0.0,1,0,0,1331039788
WJSimacek,1,0.0,0,0,0,1251116031
WLInternet,1,0.0,0,2,0,1351881386
WMcNC1,5,0.0,1,1,0,1352041622
WMoD,2,0.0,0,1,0,1361926995
