ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
236855,comment,236808,236854,0,0,robg,,,"In rejecting <i>an</i> organized religion, why make a leap to rejecting the entire inquiry? We're already well-into that technological future you imagine. Indeed, we're communicating across the globe at sometimes the speed of light. But the most difficult questions of our humanity still have yet to be answered. I can't see that ever changing save for God incarnate descending (again?). :)<p>A very influential book for me: A Common Faith by John Dewey - a pragmatic philosopher with a realistic approach and hope.<p>The real problem, to me, is one of literalism vs. metaphor. I read the Old and New Testaments for insight but not history or science. Some would find that appalling. Others appealing. The choice is mine and ours to believe what we want.",1215255558
236854,comment,236808,236808,0,0,seer,,,"I would never forget the moment I became an atheist - it was somewhere in the middle of the 7th grade, and we had a lesson about the emerging empires in Mesopotamia ( The first time history touches organized religion, at least in my school). I was cautiously believing in christ then. Anyway we were discussing the merits of their religion (sovereign chosen by god, underworld or something like that), and it was all clear that their notion of religion was silly and could never be true, yet they passionately believed it. On top of that it was obvious that the ruling class had invented it to serve it's needs (the sovereign was entitled to his position, so was his family and hairs). And then it struck me, what will be different in say 3-4 thousand years into the future, when in some class a child will be learning about christianity, and discussing it's merits. In that exact moment the whole pillar of belief (which my parents were relentlessly building) crumbled like the WTC.<p>Anyway, that's my 2 cents.",1215255143
236853,story,,,68,131,terpua,"On Day Care, Google Makes a Rare Fumble",http://www.nytimes.com/2008/07/05/business/05nocera.html?_r=1&adxnnl=1&oref=login&partner=rssnyt&emc=rss&adxnnlx=1215254818-59OmZCQO0HIy0VGdQlO4Ug,,1215254887
236851,comment,236639,236788,0,0,dfranke,,,"What's the purpose of 'enter'?  You have 00001010 for that.",1215254354
236850,story,,,4,0,rockstar9,"Timer and Timers",http://dev.emcelettronica.com/timer-and-timers,,1215254330
236849,story,,,3,0,terpua,"Yo Founders, There’s Gold in Them Clouds",http://gigaom.com/2008/07/04/structure-08-recap-yo-founders-theres-gold-in-them-clouds/,,1215254181
236848,story,,,5,0,rockstar9,"Why Microsoft will win Yahoo - Jul. 4, 2008",http://money.cnn.com/2008/07/03/technology/kirkpatrick_search.fortune/,,1215254154
236847,comment,236808,236842,0,0,robg,,,"Pantheists <i>do</i> find God in a lump of coal. So too do coal miners and energy conglomerates. :)<p>Aquinas called God ""Pure substance through pure act"". It's very hard not to see a definition of matter and energy there and given by a ""Saint"".<p>Dawkins here is insisting on a definition for which his professional training gives no special insight. So why should he be recognized as some ""expert""?",1215254036
236846,comment,236475,236475,0,0,danw,,,"Taking the average doesn't get you the best results. I'd recommend reading Luke Wroblewski on form design.",1215254017
236843,comment,236808,236840,0,0,robg,,,"What annoys me is so-called scientists writing books where they cloak the discussion in pseudo-science. The scientific method requires hypothesis <i>testing</i>. When a scientist says faith involves delusion, they're really degrading science because anyone with ""faith"" knows it's not an objective reality to be tested. And so they reject science. To me, that explains the backlash against science. Scientists overstepping the bounds of their expertise damage the reputation of science itself.<p>That all said, reason should absolutely be used to examine faith. If your reason forces you to reject <i>a</i> faith, who's to say you must then reject <i>all</i> faith? Sure, you may decide to at any point. But it need not be the end of inquiry.<p>One fact that will always blow my mind for which I don't anticipate a fully rational explication: Right now we're all communicating across a tiny rock in the middle of nowhere. Yet we have the rational means (linguistic, mathematic, scientific) to ponder the depth and extent of our own existence. Call me a theist, but I don't see how that's possible based on strictly finite matter. An evolutionary biologist may spin a story, but it doesn't make it so. So too might an ancient book. Use reason to explore and understand the diversity of faith. In the process I can't see how you won't deepen your own understanding of both.<p>EDIT: If you disagree, say <i>why</i> you disagree even as I don't think I've said anything controversial here. I know some science. I know faith less. This thread is interesting to me exactly because of the seeming prevalence of atheist programmers for which I have no insight into why.",1215253840
